feature_id,area,feature,primary_user,story,expected_behavior,entry_points,code_refs,existing_coverage,test_type,test_status,last_tested_at,tester,issue_status,error_summary,evidence,fix_refs,retest_evidence,production_notes
DOC-005,Documents,Configure payment field,Document owner,"As a document owner, I can add payment requirements to a document so collection is tied to signing.","Payment config supports one-time, recurring, installment, and deposit/balance settings and stores Vortex-backed payable configuration without retired-provider residue.","Document editor payment config modal","apps/web/src/components/documents/payment-config-modal.tsx; apps/backend/convex/payment_fields; apps/backend/convex/vortex_billing/payable_actions.ts","src/components/documents/payment-config-modal.test.tsx; bun run prove:seal-document-payment-vortex-local",browser,blocked,2026-07-08T14:56:42Z,manager,fixed_pending_retest,"Blocked by Vortex Connect readiness: local seal-e2e has no merchant account; staging Seal E2E Workspace created a Vortex Connect account and submitted hosted onboarding, but hosted Vortex returned an action queue with review requirement pending and Seal still shows Complete verification. Payment field remains disabled in staging editor.","Local backend query returned merchant status not_connected for seal-e2e. Staging browser proof: settings/payments showed Create Vortex Connect account; account creation succeeded; hosted onboarding form was completed with sandbox proof data; final submit locked information but left review requirement pending; reopening staging editor still showed Payment disabled. Screenshots: docs/test-sessions/doc-005-staging-payment-settings.png, docs/test-sessions/doc-005-staging-vortex-connect-final-submit.png, docs/test-sessions/doc-005-staging-payment-disabled-after-onboarding.png","apps/web/src/components/documents/field-toolbar.tsx","Local editor reload verified disabled Payment now exposes title: Connect Vortex merchant payments before placing payment fields. Payment config modal still requires a charges-ready Vortex merchant before full DOC-005 retest.","Retest when staging Vortex Connect status is connected and chargesEnabled=true."
DOC-006,Documents,Send document,Document owner,"As a document owner, I can send a prepared document so recipients receive signing invitations.","Send dialog validates recipients/fields, transitions workflow state, sends invitation emails, and records audit/activity.","Document editor send dialog","apps/web/src/components/documents/send-document-dialog.tsx; apps/backend/convex/documents/send_document_action.ts; packages/transactional/src/emails/document-invitation.tsx","src/components/documents/send-document-dialog.test.tsx; convex/documents/__tests__/workflow_mutations.test.ts",browser,passed,2026-07-08T15:01:18Z,manager,none,"","Opened Send Document from prepared local document jn75ap6kmpey306eyqbyd5ysp58a56f9; dialog listed Auth Invite 003 as recipient with 1 signer field and enabled Send Document; clicked Send Document; success toast reported Document sent successfully to 1 recipient; Send Document became disabled; Details showed file metadata and 1 field; backend Convex query returned status active, workflowStatus sent, and sentAt 1783522723250. Screenshots: docs/test-sessions/doc-006-send-dialog.png, docs/test-sessions/doc-006-send-result.png, docs/test-sessions/doc-006-details-after-send.png",,,
SIGN-001,Signing,Public signing link,Recipient,"As a recipient, I can open a signing link and complete required fields.","Signing route validates token, shows document, enforces consent, collects fields/signature, and completes or advances workflow.","/sign/:token","apps/web/src/routes/sign.$token.tsx; apps/web/src/components/documents/in-app-signing-section.tsx; apps/backend/convex/documents/sign_pdf_action.ts","src/components/documents/signature-capture.test.tsx; convex/documents/__tests__/workflow_helpers.test.ts",browser,passed,2026-07-08T15:05:40Z,manager,none,"","Opened the real signing link for recipient Auth Invite 003 in a fresh unauthenticated browser; ESIGN consent screen required checkbox before Continue; consent submission rendered sample-document.pdf, recipient details, viewed status, progress 0/1, and required Signature Page 1 overlay; signature modal opened from the overlay; submitted a signature; page moved to Completed/Signed with Download Document visible. Backend checks: recipient moved pending -> viewed with esignConsentAt -> signed with signedAt; signature_fields getFieldsBySigningToken returned Signature Page 1 isFilled=true; document workflowStatus became completed with completedAt. Screenshots: docs/test-sessions/sign-001-consent.png, docs/test-sessions/sign-001-consent-checked.png, docs/test-sessions/sign-001-document-loaded.png, docs/test-sessions/sign-001-field-clicked.png, docs/test-sessions/sign-001-typed-signature.png, docs/test-sessions/sign-001-field-signed.png",,,
SIGN-002,Signing,Decline signing,Recipient,"As a recipient, I can decline to sign so the sender knows I will not complete the document.","Decline dialog captures intent/reason, updates recipient/document state, and triggers the correct notification path.","/sign/:token","apps/web/src/components/documents/decline-dialog.tsx; apps/backend/convex/documents/workflow_mutations.ts","convex/documents/__tests__/recipients_mutations.test.ts",browser,retest_passed,2026-07-08T16:31:41Z,codex,closed,"Recipient decline updated recipient state but left the document workflowStatus as sent, so document-level declined surfaces and downstream document.declined consumers could miss the decline.","Pre-fix browser proof used document jn7dfmf4zx7s4npdgm0axhkpbn8a4c4r and token e2e-mrcabbaa65ymgrus. Consent accepted, decline reason submitted, and UI showed Declined, but Convex state returned recipient status declined with document workflowStatus sent. Screenshots: docs/test-sessions/sign-002-consent-gate-20260708.png, docs/test-sessions/sign-002-after-consent-click-20260708.png, docs/test-sessions/sign-002-decline-reason-filled-20260708.png, docs/test-sessions/sign-002-after-decline-submit-20260708.png.","apps/backend/convex/documents/recipients_mutations.ts; apps/backend/convex/documents/__tests__/recipients_mutations.test.ts","Retest used document jn7b3kq3j2s1d0y4kbkyx4xsah8a5sc6 and token e2e-mrcamopedh6p6v43 after deploying Convex dev functions to aware-buzzard-568. Browser flow accepted consent, submitted decline reason, UI showed Declined, console showed no app errors, and Convex state returned recipient status declined with document workflowStatus declined. Screenshots: docs/test-sessions/sign-002-retest-consent-gate-20260708.png, docs/test-sessions/sign-002-retest-document-view-20260708.png, docs/test-sessions/sign-002-retest-decline-dialog-20260708.png, docs/test-sessions/sign-002-retest-decline-reason-filled-20260708.png, docs/test-sessions/sign-002-retest-declined-final-20260708.png.","Dev proof only on aware-buzzard-568; no Vortex Payments package/API changes and no live money movement."
SIGN-003,Verification,Verify document authenticity,Verifier,"As a verifier, I can open a QR token or verification route to confirm the document and see a clear failure state when the token is invalid or expired.","The verification route resolves a valid token to document identity and signer metadata; invalid or expired tokens fail with a clear user-facing state instead of leaking document contents.","/verify/:qrToken","apps/web/src/routes/verify.$qrToken.tsx; apps/backend/convex/documents/verification.ts; apps/backend/convex/documents/download_tokens.ts","",browser,passed,2026-07-08T17:04:39Z,codex,none,"","Created signable document jn78893sgn77brg0jw1yppv8vx8a4hvv in dev Convex aware-buzzard-568, submitted a typed public signature, and polled state until workflowStatus completed with qrToken Nm9a0USMOU8zi80_fNq3-QOT. Opened /verify/Nm9a0USMOU8zi80_fNq3-QOT in fresh browser: page showed Document Verified, document name, completed date, signer count 1, signer name, signer role, signed date, and masked email s*****@seal.nyc. Opened /verify/not-a-real-token-sign-003 in fresh browser: page showed Verification Failed with generic invalid/no-longer-exists copy and no document details. Console/errors clean except Jam debug logs on valid page. Screenshots: docs/test-sessions/sign-003-valid-verified-20260708.png, docs/test-sessions/sign-003-invalid-token-visible-20260708.png","apps/backend/convex/test_e2e_helpers.ts","Retest not needed; no Seal product bug found.","Current verification QR tokens have no expiry field or expiry check in code; invalid/nonexistent token failure was tested. No Vortex Payments package/API changes and no live money movement."
TPL-001,Templates,Save as template,Document owner,"As a document owner, I can save a document as a template so I can reuse it.","Save-as-template creates a reusable template with field/recipient structure and exposes it in templates views.","/:slug/templates; document editor save template dialog","apps/web/src/routes/_authenticated/$slug/templates.tsx; apps/web/src/components/documents/save-as-template-dialog.tsx; apps/backend/convex/api/v1/templates.ts","apps/web/e2e/tests/templates.e2e.ts",browser,passed,2026-07-08T17:29:47Z,codex,none,"","Seeded draft source document jn7cyfzr57fkjcxrcsehq94gh18a58fp with one signer field kd7c95sb31b07cw4snkk4nbhjh8a5jat in dev Convex aware-buzzard-568 after seeding Pro subscription for seal-e2e. Browser opened the document editor, Save as Template was enabled, dialog accepted name TPL-001 saved template 2026-07-08 1309 and description, submit closed the dialog with toast Template saved with 1 field, and /seal-e2e/templates listed the template with description, created date, times used 0, and Use Template action. Direct Convex data proof returned template qd74e1fr0zax495959vzwmwhnd8a5t00 linked to sourceDocumentId and one template_fields row q97c1s0zcpyx0q2sfeqpt88yed8a5bex with fieldType signature, label Signature, page 1, required true, order 0. Screenshots: docs/test-sessions/tpl-001-sign-in-20260708.png, docs/test-sessions/tpl-001-dashboard-source-visible-20260708.png, docs/test-sessions/tpl-001-editor-save-button-20260708.png, docs/test-sessions/tpl-001-dialog-filled-20260708.png, docs/test-sessions/tpl-001-template-saved-toast-20260708.png, docs/test-sessions/tpl-001-template-visible-list-20260708.png",,,"Observed non-blocking editor toast Failed to load PDF on the seeded source document; signature field and template save/list contract still passed. No Vortex Payments package/API changes and no live money movement."
CONTACT-001,Contacts,Contact list,Workspace member,"As a workspace member, I can view contacts so I can reuse recipient information.","Contacts route lists org-scoped contacts with status and navigation to contact details.","/:slug/contacts","apps/web/src/routes/_authenticated/$slug/contacts/index.tsx; apps/backend/convex/contacts/queries.ts","convex/contacts/__tests__/queries.test.ts",browser,passed,2026-07-08T14:18:30Z,manager,none,"vb auth-002 open http://seal.localhost:1355/qa-auth-002/contacts; created two contacts; list rendered both rows with status badges and detail navigation; screenshots test-results/contacts-after-create-2.png and test-results/contacts-after-edit.png",,,,
CONTACT-002,Contacts,Create contact,Workspace member,"As a workspace member, I can create a contact so I can send documents faster.","Create contact dialog validates fields, persists contact data, and updates the contacts list.","/:slug/contacts create contact dialog","apps/web/src/components/contacts/create-contact-dialog.tsx; apps/backend/convex/contacts/mutations.ts","src/components/contacts/create-contact-dialog.test.tsx; convex/contacts/__tests__/mutations.test.ts",browser,passed,2026-07-08T14:18:30Z,manager,none,"vb auth-002 open http://seal.localhost:1355/qa-auth-002/contacts; created Alice Example and Bob Example from the add-contact dialog; list updated immediately; screenshots test-results/contact-create-dialog.png, test-results/contact-create-filled.png, test-results/contact-create-dialog-2.png, and test-results/contact-create-filled-2.png",,,,
CONTACT-003,Contacts,Edit and export contacts,Workspace member,"As a workspace member, I can edit or export contacts so contact data stays accurate and portable.","Edit flow updates existing contact records; export produces the expected contact export payload without leaking other org data.","/:slug/contacts; /:slug/contacts/:contactId","apps/web/src/components/contacts/edit-contact-dialog.tsx; apps/web/src/components/contacts/export-contacts.tsx","src/components/contacts/edit-contact-dialog.test.tsx; src/components/contacts/export-contacts.test.tsx",browser,passed,2026-07-08T14:18:30Z,manager,none,"vb auth-002 opened Bob Example detail, changed title to Finance Director, and exported the contact list; download verified at /Users/shlomokabareti/Downloads/contacts-export-2026-07-08.csv",,,,
PAY-001,Payments,Payments overview,Workspace admin,"As a workspace admin, I can view payment operations so I can monitor balances, payouts, history, disputes, tax docs, and subscriptions.","Payments routes render Vortex-owned operational surfaces and explicit replacement states without external-provider embeds.","/:slug/payments","apps/web/src/routes/_authenticated/$slug/payments.tsx; apps/web/src/components/payments/vortex-merchant-operational-surface.tsx","bun run prove:vortex-operational-payments-adoption",browser,passed,2026-07-08T17:35:36Z,codex,none,,"Browser session tpl-001 verified /seal-e2e/payments plus balances, payouts, history, disputes, tax, subscriptions all rendered Vortex Connect not ready replacement state; screenshots docs/test-sessions/pay-001-*-no-vortex-connect-20260708.png; no Stripe text; no payment/provider iframes; browser errors empty; Jam recorder iframe only; bun run prove:vortex-operational-payments-adoption passed.",,,"Connected-merchant operational data not exercised because E2E org has no ready Vortex merchant account; this pass proves the unconnected replacement state and no external-provider embed contract."
PAY-002,Payments,Merchant onboarding,Workspace admin,"As a workspace admin, I can connect payment capabilities so Seal can collect document payments.","Merchant onboarding reads/writes through Vortex merchant APIs, shows account status, and avoids direct external-provider credentials/imports.","/:slug/settings/payments","apps/web/src/routes/_authenticated/$slug/settings/payments.tsx; apps/backend/convex/payments/merchant_account_actions.ts; apps/backend/convex/payments/vortex_merchant_actions.ts","convex/payments/merchant_account_actions.test.ts; bun run prove:vortex-merchant-settings-adoption",browser,blocked,2026-07-08T17:41:20Z,codex,external_blocker,"Staging Vortex Connect page renders restricted merchant state, but Complete verification cannot produce an onboarding link because Vortex merchant onboarding service returns 409 merchant account is not in draft onboarding state.","Staging browser session pay-002 opened https://staging-app.seal.nyc/seal-e2e/settings/payments; page showed Vortex Connect restricted merchant, no Stripe text, no payment/provider iframes; screenshots docs/test-sessions/pay-002-staging-settings-payments-initial-20260708.png and docs/test-sessions/pay-002-staging-verification-instrumented-20260708.png; clicking Complete verification produced Convex request 3ec9318bb831a0e2 and Vortex requestId req_mrcd4a3r_e42dzgpz with non-retryable 409.",,,"Blocked at Vortex Payments boundary; do not patch Seal until Vortex clarifies whether restricted accounts should get hosted remediation links or Seal should suppress Complete verification outside draft onboarding."
BILL-001,Billing,Billing settings,Workspace admin,"As a workspace admin, I can manage subscription billing so the organization has the correct plan.","Billing settings render Vortex package components for subscription and plan UI, with plan limits reflected in feature gates.","/:slug/settings/billing","apps/web/src/routes/_authenticated/$slug/settings/billing.tsx; apps/backend/convex/payments/subscription_actions.ts","bun run prove:vortex-billing-settings-adoption; convex/payments/subscription_actions.test.ts",browser,blocked,2026-07-08T17:42:36Z,codex,external_blocker,"Staging billing route renders Vortex subscription and plan components, but Manage billing handoff fails because Vortex Billing portal returns 500 internal_error.","Staging browser session pay-002 opened https://staging-app.seal.nyc/seal-e2e/settings/billing; page rendered data-vortex-component VortexSubscriptionActionSummary and VortexPlanComparison, active Seal Pro E2E Test subscription, no Stripe text, no payment/provider iframes; screenshot docs/test-sessions/bill-001-staging-billing-settings-20260708.png. Clicking Vortex component Manage billing produced Convex request 2c32674910fd646b and Vortex Billing requestId 982171e9-c784-4c26-b01d-17506f9064b7 with 500 internal_error; screenshot docs/test-sessions/bill-001-staging-manage-billing-click-20260708.png.",,,"Blocked at Vortex Billing boundary; do not patch Seal until Vortex Billing portal session failure is resolved or expected Seal fallback behavior is specified."
TEAM-001,Team,Team members,Workspace admin,"As a workspace admin, I can invite and manage members so access is controlled.","Team settings list members/invites, allow role changes where permitted, and enforce permissions.","/:slug/settings/team","apps/web/src/routes/_authenticated/$slug/settings/team.tsx; apps/web/src/components/team; apps/backend/convex/organization_roles","convex/organization_roles/__tests__/helpers.test.ts; convex/api/v1/__tests__/members.test.ts",browser,not_started,,manager,none,,,,,
SET-001,Settings,Organization profile and branding,Workspace admin,"As a workspace admin, I can update organization settings and branding so documents match the business.","Settings persist org profile/branding values and reflect them in workspace/document surfaces.","/:slug/settings; /:slug/settings/branding","apps/web/src/routes/_authenticated/$slug/settings/index.tsx; apps/web/src/routes/_authenticated/$slug/settings/branding.tsx; apps/backend/convex/organizations","convex/organizations/__tests__/branding.test.ts; convex/organizations/__tests__/settings.test.ts",browser,not_started,,manager,none,,,,,
SET-002,Settings,Security and signing settings,Workspace admin,"As a workspace admin, I can configure security/signing options so workflows meet policy.","Security/signing settings persist org-scoped policy and are enforced by document/signing flows.","/:slug/settings/security; /:slug/settings/signing","apps/web/src/routes/_authenticated/$slug/settings/security.tsx; apps/web/src/routes/_authenticated/$slug/settings/signing.tsx","",browser,not_started,,manager,none,,,,,
DEV-001,Developer,API keys,Developer/admin,"As a developer, I can create and manage API keys so integrations can access Seal securely.","API key UI and backend create/list/revoke keys, enforce auth, and avoid exposing raw secrets after creation.","/:slug/settings/developer/api-keys","apps/web/src/routes/_authenticated/$slug/settings/developer/api-keys.tsx; apps/backend/convex/api_keys","convex/api/__tests__/api_rate_limiter.test.ts",browser,not_started,,manager,none,,,,,
DEV-002,Developer,Webhooks,Developer/admin,"As a developer, I can configure webhooks so external systems receive Seal events.","Webhook settings create/update endpoints, validate delivery configuration, and expose delivery/audit state.","/:slug/settings/developer/webhooks","apps/web/src/routes/_authenticated/$slug/settings/developer/webhooks.tsx; apps/backend/convex/api/v1/webhooks.ts; apps/backend/convex/webhooks","convex/webhooks/__tests__/delivery.test.ts; convex/webhooks/__tests__/publish.test.ts",browser,not_started,,manager,none,,,,,
AI-001,AI,AI field suggestions,Document owner,"As a document owner, I can use AI suggestions to prepare documents faster.","AI analysis extracts likely fields/payment terms, shows progress and suggestions, and lets the user apply or ignore them.","Document editor AI panel","apps/web/src/components/documents/ai-chat-panel.tsx; apps/web/src/components/documents/ai-field-suggestions.tsx; apps/backend/convex/ai","convex/ai/mutations.test.ts; convex/ai/pipeline_mutations.test.ts; convex/ai/tools/extract_payment_terms.test.ts",browser,not_started,,manager,none,,,,,
NOTIF-001,Notifications,Notification center,Workspace member,"As a workspace member, I can view notifications so I can act on document events.","Notifications popover lists unread/read notifications, supports state changes, and links to relevant work.","App shell notifications popover","apps/web/src/components/notifications/notifications-popover.tsx; apps/backend/convex/notifications","src/components/notifications/notifications-popover.test.tsx; convex/notifications/__tests__/mutations.test.ts",browser,not_started,,manager,none,,,,,
ANALYTICS-001,Analytics,Analytics dashboard,Workspace admin,"As a workspace admin, I can view analytics so I understand document workflow performance.","Analytics route displays org-scoped metrics and loading/error states without cross-org leakage.","/:slug/analytics","apps/web/src/routes/_authenticated/$slug/analytics.tsx; apps/backend/convex/dashboard/analytics_queries.ts","convex/dashboard/__tests__/analytics_queries.test.ts",browser,not_started,,manager,none,,,,,
API-001,Public API,API v1 documents and contacts,Developer,"As a developer, I can use API v1 endpoints to manage documents and contacts programmatically.","API endpoints authenticate requests, validate inputs, enforce org access, return stable errors, and implement rate/IP limits.","/api/v1/*","apps/backend/convex/api/v1; apps/backend/convex/api","convex/api/v1/__tests__; convex/api/__tests__",api,not_started,,manager,none,,,,,
EMAIL-001,Transactional emails,Document lifecycle emails,Sender/recipient,"As a sender or recipient, I receive the right email at each document lifecycle step.","Invitation, viewed, reminder, completed, expired, shared, transfer, and team invitation emails render expected content and are sent from the correct workflow actions.","Email actions and packages/transactional templates","packages/transactional/src/emails; apps/backend/convex/documents/email.ts; apps/backend/convex/emails/resend_component.ts","convex/emails/__tests__/resend_component.test.ts; convex/workflows/__tests__/document_completion_steps.test.ts",email,not_started,,manager,none,,,,,
LANDING-001,Marketing,Landing and pricing pages,Visitor,"As a visitor, I can understand Seal and pricing before signing up.","Landing/pricing/docs pages render correctly, include navigation/SEO metadata, and route visitors to the app actions.","/; /pricing; /docs; /developer; /compare; /integrations","apps/landing/src/routes; apps/landing/src/components","",browser,not_started,,manager,none,,,,,
SDK-001,React SDK,Signing embed,Developer,"As an integrator, I can embed Seal signing in my app.","React SDK embed validates message origins, emits typed events, and supports ready/viewed/signed/declined/error callbacks.","packages/react-sdk","packages/react-sdk/src/SealSigningEmbed.tsx; packages/react-sdk/src/types.ts","",unit,not_started,,manager,none,,,,,
DOC-007,Documents,Document list and folder navigation,Workspace member,"As a workspace member, I can browse documents, search and sort them, and switch between list and grid views so I can find the right file quickly.","The documents index respects current filter state, keeps list sorting stable, renders table and card layouts, handles loading/empty/error states, and preserves folder-scoped navigation.","/:slug/documents; /:slug/documents?folderId=...","apps/web/src/routes/_authenticated/$slug/documents/index.tsx; apps/backend/convex/documents/queries.ts; apps/web/src/components/documents/document-thumbnail.tsx; apps/web/src/components/documents/workflow-status-badge.tsx","src/components/documents/workflow-status-badge.test.tsx",browser,not_started,,manager,none,,,,,
DOC-008,Documents,Move document to folder,Document owner,"As a document owner, I can move documents between folders so workspace files stay organized.","Move-to-folder dialog creates/selects org-scoped folders, updates document folder assignment, and refreshes breadcrumbs/list state.","Document list/editor folder controls","apps/web/src/components/folders/move-to-folder-dialog.tsx; apps/web/src/components/folders/create-folder-dialog.tsx; apps/web/src/components/folders/folder-breadcrumbs.tsx; apps/backend/convex/folders","convex/folders/__tests__/folders.test.ts",browser,not_started,,manager,none,,,,,
DOC-009,Documents,Share document,Document owner,"As a document owner, I can share a document so another person can access it.","Share flow creates access records or share links, sends the right shared email, and enforces document access permissions.","Document editor share dialog","apps/web/src/components/documents/share-document-dialog.tsx; apps/backend/convex/documents/sharing.ts; packages/transactional/src/emails/document-shared.tsx","convex/documents/sharing.test.ts",browser,not_started,,manager,none,,,,,
DOC-010,Documents,Transfer ownership,Document owner,"As a document owner, I can transfer ownership so another workspace member becomes responsible for the document.","Transfer dialog validates target member, updates ownership, sends ownership email, and preserves audit/activity history.","Document editor transfer ownership dialog","apps/web/src/components/documents/transfer-ownership-dialog.tsx; apps/backend/convex/documents/ownership_transfer_action.ts; packages/transactional/src/emails/ownership-transferred.tsx","",browser,not_started,,manager,none,,,,,
